안중오거리,﻿NAEK176,36.988399,126.932094
안중,NAEK177,36.990133,126.930554
장수,NAEK862,35.648143999999995,127.51835759999999
센트럴시티(서울),NAEK020,37.504892999999996,127.00321600000001
동서울,NAEK030,37.534218,127.09397899999999
상봉,NAEK040,37.5964325,127.092976
파주문산,NAEK045,37.858194000000005,126.7855225
파주운정,NAEK046,37.725401999999995,126.76715199999998
서울남부,NAEK050,37.484235,127.01605400000001
인천,NAEK100,37.441545999999995,126.70149599999999
부천,NAEK101,37.5040663,126.75660400000001
김포공항,NAEK104,37.564963999999996,126.80065099999997
인천공항T1,NAEK105,37.448917,126.451698
송도,NAEK106,37.386941,126.64038799999999
서수원,NAEK109,37.282142,126.96990799999999
수원,NAEK110,37.251163,127.019937
용인신갈,NAEK111,37.271386,127.104309
영통,NAEK112,37.268409,127.08207650000001
고양화정,NAEK115,37.634011,126.83410900000001
고양백석,NAEK116,37.6430338,126.7897388
인천공항T2,NAEK117,37.4601908,126.44069569999998
죽전,NAEK118,37.330172,127.119838
신갈영덕,NAEK119,36.414522999999996,129.37256499999998
성남(분당),NAEK120,37.4131451,127.1268211
광명(KTX역),NAEK125,37.416522,126.884789
광명(철산역),NAEK126,37.418505499999995,126.8863925
오산,NAEK127,37.1459811,127.06650250000001
안성,NAEK130,37.012181999999996,127.2926565
안성중대,NAEK131,37.012628,127.22662
안성풍림,NAEK132,36.999746,127.1585234
안성공도,NAEK133,36.998725,127.16637449999998
안성한경,NAEK134,37.012181999999996,127.2926565
안성대림,NAEK137,37.0099065,127.203449
안성회관,NAEK138,37.012181999999996,127.2926565
여주대,NAEK139,37.2908754,127.63541459999999
여주,NAEK140,37.2908754,127.63541459999999
포천,NAEK146,37.8974852,127.20353510000001
신철원,NAEK147,38.1453141,127.30808469999998
철원,NAEK148,38.1453141,127.30808469999998
용인유림,NAEK149,37.232758,127.20961899999999
용인,NAEK150,37.232758,127.20961899999999
이천,NAEK160,37.277744,127.446913
구리,NAEK169,36.1227303,128.3520357
의정부,NAEK170,37.745067,127.05511600000001
이천부발(신하리),NAEK172,37.277744,127.446913
평택용이동,NAEK174,36.991088,127.086948
평택대,NAEK175,36.9932,127.13305000000001
평택,NAEK180,36.990656,127.08821649999999
운천,NAEK186,38.090066,127.27431499999999
장현,NAEK187,37.727241,127.192845
안산,NAEK190,37.3172101,126.84790319999999
시흥(시화),NAEK195,37.342641,126.73583899999998
강릉,NAEK200,37.7546716,128.878003
동해,NAEK210,37.528791999999996,129.104735
삼척,NAEK220,37.440131,129.169096
속초,NAEK230,38.190508799999996,128.5987419
횡성(휴)하행,NAEK238,37.462762999999995,128.133971
횡성(휴)상행,NAEK239,37.4649851,128.1354433
원주,NAEK240,37.344843499999996,127.9308469
원주혁신,NAEK244,37.3443423,127.9319926
원주문막,NAEK245,37.320071,127.831452
춘천,NAEK250,37.863184,127.718604
양양,NAEK270,38.077422,128.626003
영월,NAEK272,37.183386,128.46560399999998
대전복합,NAEK300,36.3516567,127.43741139999999
대전청사,NAEK305,36.3616927,127.37968169999999
대전도룡,NAEK307,36.3855,127.37646699999999
천안,NAEK310,36.820506,127.15634299999999
당진,NAEK312,36.9021405,126.64583700000001
정안(휴)상행,NAEK316,34.785221,127.66173400000001
공주,NAEK320,36.468449,127.134868
인삼랜드(휴)상행,NAEK325,34.785221,127.66173400000001
금산,NAEK330,36.110517,127.49110999999999
아산온양,NAEK340,36.784518999999996,127.01591999999998
아산서부,NAEK341,36.7770772,127.0813148
아산탕정,NAEK342,36.784518999999996,127.01591999999998
천안아산역,NAEK343,36.794562,127.104367
아산둔포,NAEK344,36.927217999999996,127.03714399999998
천안3공단,NAEK346,36.8397092,127.11980930000001
선문대,NAEK347,36.784518999999996,127.01591999999998
탕정삼성LCD,NAEK349,36.813072,127.05709399999999
조치원,NAEK350,36.601712,127.30286199999999
세종시,NAEK352,36.469819,127.27279000000001
세종청사,NAEK353,36.469819,127.27279000000001
홍대조치원,NAEK354,36.620849799999995,127.28716030000001
고대조치원,NAEK355,36.610751799999996,127.28863249999999
유성,NAEK360,36.355593,127.3347225
논산,NAEK370,36.2029571,127.088157
연무대,NAEK380,36.1340253,127.0996496
당진기지시,NAEK388,36.9120695,126.68952599999999
홍성,NAEK389,36.600984,126.676092
내포,NAEK390,36.657489,126.670629
청양,NAEK391,36.452189499999996,126.80342449999999
서산,NAEK393,36.7816622,126.4584241
태안,NAEK394,36.747954299999996,126.30320370000001
보령,NAEK395,36.342628,126.58959300000001
안면도,NAEK396,36.517998999999996,126.345759
창기리,NAEK397,36.5748677,126.33468599999999
예산,NAEK398,36.69425,126.8326
덕산스파,NAEK399,36.693934299999995,126.65596989999997
청주(고속),NAEK400,36.626743,127.430982
청주(센트럴),NAEK401,36.626743,127.430982
북청주,NAEK405,36.650518999999996,127.486986
청주공항,NAEK407,36.7219769,127.49588899999999
속리산,NAEK408,36.527820999999996,127.81968599999999
보은,NAEK409,36.483156,127.72173400000001
충주,NAEK420,36.981982099999996,127.9145554
황간,NAEK440,36.2254971,127.91481399999998
제천하소,NAEK449,37.1421674,128.21084199999999
제천,NAEK450,37.1421674,128.21084199999999
증평,NAEK455,36.785579299999995,127.5827178
괴산,NAEK457,36.8084977,127.7945639
단양,NAEK460,36.982641799999996,128.3711949
죽전보정,NAEK477,37.3212338,127.11193559999998
광주(유·스퀘어),NAEK500,35.160330699999996,126.8793396
서울경부,NAEK010,37.505510,127.007044
후포,NAEK857,36.68258,129.442138
목포,NAEK505,34.812751999999996,126.417907
